adstrd_cd,adstrd_nm,frglty_psn_co,frglty_psn_pctl,fnds_ix,fnds_pctl,rnfl_ix,rnfl_pctl
1116059,화곡4동,5517,73,14.838,12,0.339,20
1116061,화곡6동,5592,73,14.838,12,0.339,20
1116063,화곡8동,6285,79,14.838,11,0.339,20
1116064,가양1동,5290,71,30.68,39,0.678,39
1116065,가양2동,4369,62,15.34,15,0.339,13
1116066,가양3동,4315,62,15.34,15,0.339,13
1116067,발산1동,10398,95,47.523,48,1.016,48
1116069,공항동,6976,83,98.902,58,2.033,58
1116070,방화1동,12750,98,47.922,48,1.016,48
1116071,방화2동,6228,78,32.582,40,0.678,43
1116072,방화3동,6809,82,16.291,19,0.339,21
1116073,화곡1동,11799,97,14.838,11,0.339,21
1116074,우장산동,11886,97,29.676,38,0.678,43
1117051,신도림동,9753,93,17.357,29,0.339,21
1117052,구로1동,5305,71,15.774,17,0.339,21
1117054,구로3동,5707,74,15.774,17,0.339,21
1117055,구로4동,6544,81,15.774,17,0.339,21
1117056,구로5동,7768,87,15.774,18,0.339,21
1117061,고척1동,6722,82,17.357,29,0.339,21
1117062,고척2동,7871,87,17.357,28,0.339,21
1117064,개봉2동,9371,92,17.357,29,0.339,21
1117065,개봉3동,5955,76,17.357,29,0.339,21
1117067,오류1동,5750,75,17.357,28,0.339,21
1117069,수궁동,6426,80,36.217,44,0.678,43
1117070,가리봉동,3475,53,15.774,17,0.339,21
1117071,구로2동,8739,91,15.774,18,0.339,21
1117072,개봉1동,9640,93,17.357,28,0.339,21
1117073,오류2동,12132,97,34.714,43,0.678,43
1117074,항동,4801,67,17.357,29,0.339,21
1118051,가산동,3859,57,17.357,28,0.339,21
1118052,독산1동,10075,94,14.245,8,0.339,21
1118053,독산2동,5101,69,14.245,8,0.339,21
1118054,독산3동,6823,82,14.245,8,0.339,21
1118055,독산4동,4302,62,14.245,8,0.339,21
1118057,시흥1동,9466,93,14.245,8,0.339,21
1118058,시흥2동,6400,80,14.245,8,0.339,21
1118059,시흥3동,3066,49,14.245,8,0.339,21
1118060,시흥4동,5803,75,14.245,8,0.339,21
1118061,시흥5동,5681,74,14.245,8,0.339,21
1119054,여의동,9749,93,16.773,24,0.33,8
1119055,당산1동,4758,66,50.32,49,0.989,47
1119056,당산2동,7993,88,67.093,53,1.319,52
1119061,양평1동,3839,57,50.32,49,0.989,47
1119062,양평2동,4959,68,100.64,60,1.978,58
